,NAME,ROUNDS,DRIVE_DISTANCE,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,SCORING1,SCORING2,SCORING3,SCORING4,SCORING5,FWY_%1,FWY_%2,FWY_%3,FWY_%4,FWY_%5,GIR_%1,GIR_%2,GIR_%3,GIR_%4,GIR_%5,SG_P1,SG_P2,SG_P3,SG_P4,SG_P5,SG_TTG1,SG_TTG2,SG_TTG3,SG_TTG4,SG_TTG5,SG_T1,SG_T2,SG_T3,SG_T4,SG_T5,SCRAMBLING_P1,SCRAMBLING_P2,SCRAMBLING_P3,SCRAMBLING_P4,SCRAMBLING_P5
0,Aaron Baddeley,293,1165.8999999999999,1163,1852,10,11,1.0,70.888,71.483,70.85,70.783,,55.42,52.25,53.27,57.74,,63.11,62.57,63.39,63.33,,0.586,0.044,-0.057,0.654,,-0.33,-0.216,0.366,-0.34,,0.257,-0.172,0.309,0.313,,64.3,59.9,61.09,65.84,
1,Aaron Wise,162,605.5,481,884,3,5,1.0,70.247,70.739,,,,63.33,61.75,,,,68.81,68.6,,,,0.238,-0.146,,,,0.464,0.475,,,,0.703,0.329,,,,56.28,52.05,,,
2,Abraham Ancer,191,589.4000000000001,689,1105,4,9,0.0,70.659,70.58,,,,63.64,70.21,,,,66.49,66.79,,,,-0.056,-0.065,,,,0.376,0.58,,,,0.32,0.515,,,,62.69,61.98,,,
3,Adam Hadwin,369,1162.0,1294,2175,12,15,1.0,70.719,70.583,70.75,70.545,,63.62,63.2,65.6,67.77,,66.07,65.08,68.04,67.55,,0.53,0.409,0.106,0.252,,-0.011,0.143,0.49,0.091,,0.519,0.551,0.596,0.343,,58.27,62.82,58.59,57.62,
4,Adam Long,76,292.0,279,475,2,2,1.0,71.464,,,,,66.51,,,,,65.28,,,,,-0.369,,,,,-0.049,,,,,-0.418,,,,,58.74,,,,
5,Adam Schenk,188,606.3,595,1027,3,4,0.0,71.37,70.817,,,,57.67,61.27,,,,67.92,68.61,,,,0.13,0.341,,,,-0.28,0.146,,,,-0.15,0.487,,,,54.55,60.71,,,
6,Adam Scott,278,1215.5,869,1497,15,25,2.0,69.47,69.996,70.42,69.693,,55.55,56.65,62.51,59.91,,70.76,67.05,70.66,68.94,,-0.168,-0.097,-0.285,0.348,,2.062,1.103,1.064,1.483,,1.894,1.006,0.779,1.831,,59.5,58.43,54.85,59.82,
7,Alex Cejka,148,568.2,539,836,5,6,0.0,70.675,70.675,,,,65.89,66.49,,,,67.99,63.77,,,,0.01,0.009,,,,0.631,0.302,,,,0.642,0.312,,,,65.03,64.0,,,
8,Alex Noren,67,299.2,234,379,3,3,0.0,69.973,,,,,61.73,,,,,64.91,,,,,0.758,,,,,0.286,,,,,1.044,,,,,61.74,,,,
9,Anders Albertson,68,293.2,232,372,1,1,0.0,71.772,,,,,60.11,,,,,67.71,,,,,-0.307,,,,,-0.213,,,,,-0.52,,,,,62.37,,,,
