,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,POINTS,TOP 10,1ST,Year
0,Rory McIlroy,66,68.827,310.5,59.93,69.44,.274,1.992,2.266,58.52,206,352,6,3050,12,3,2014
1,Sergio Garcia,61,68.950,294.3,62.19,68.68,.167,1.818,1.984,66.67,218,327,5,815,10,,2014
2,Jim Furyk,84,69.200,279.3,73.18,68.75,.091,1.705,1.796,69.33,312,450,5,2450,11,,2014
3,Adam Scott,68,69.205,303.5,61.51,68.79,.220,1.500,1.720,60.73,232,382,6,835,10,1,2014
4,Matt Kuchar,91,69.416,283.8,67.37,66.92,.457,1.117,1.573,62.40,327,524,9,1300,11,1,2014
5,Dustin Johnson,58,69.546,311.0,57.18,68.03,.082,1.249,1.331,59.76,196,328,7,210,7,1,2014
6,Justin Rose,70,69.624,295.1,59.92,66.91,-.040,1.506,1.466,61.23,248,405,5,850,8,1,2014
7,Jason Day,54,69.626,301.2,58.72,64.00,.317,1.073,1.389,64.95,202,311,3,1200,6,1,2014
8,Graeme McDowell,66,69.642,278.0,69.20,65.77,.882,.289,1.171,60.47,231,382,5,1256,8,,2014
9,Charl Schwartzel,64,69.671,297.8,59.45,63.53,.055,1.286,1.341,61.67,251,407,3,1405,5,,2014
10,Bubba Watson,76,69.712,314.3,60.47,67.96,-.050,1.402,1.352,59.14,249,421,7,2285,8,2,2014
11,Jimmy Walker,98,69.789,301.0,51.67,67.59,.479,.774,1.253,58.39,327,560,8,1668,10,3,2014
12,Graham DeLaet,80,69.943,303.4,62.07,70.68,-.093,1.262,1.168,58.75,245,417,6,1553,7,,2014
13,Jordan Spieth,102,69.946,289.7,58.79,62.47,.399,.581,.980,62.39,413,662,6,698,8,,2014
14,Ryan Palmer,85,69.993,300.4,58.55,66.67,.295,.971,1.265,58.24,297,510,5,730,8,,2014
15,Kevin Na,94,69.996,280.3,64.32,64.72,.315,.638,.954,65.16,389,597,5,528,6,,2014
16,Keegan Bradley,89,70.031,302.2,62.36,66.67,.254,.740,.994,62.31,329,528,4,1621,6,,2014
17,Brendon Todd,108,70.049,280.3,64.85,63.99,.664,.129,.793,63.57,445,700,5,508,7,1,2014
18,Brooks Koepka,56,70.052,307.0,56.91,64.98,.162,.797,.958,57.51,203,353,2,,2,,2014
19,Hideki Matsuyama,82,70.083,294.8,61.52,64.03,-.393,1.545,1.152,60.42,313,518,4,475,4,1,2014
20,Harris English,95,70.094,299.2,59.95,68.36,-.028,.706,.677,57.44,301,524,6,1662,7,1,2014
21,Russell Knox,92,70.111,285.7,67.60,68.00,-.116,.938,.822,63.40,336,530,3,1480,3,,2014
22,Bill Haas,107,70.132,291.9,62.94,68.62,.147,.943,1.090,60.37,358,593,3,655,5,,2014
23,Charles Howell III,106,70.134,304.1,52.77,67.66,.037,.717,.755,61.26,378,617,6,1592,6,,2014
24,Chris Kirk,105,70.150,291.0,62.78,63.46,.374,.489,.862,63.30,433,684,3,3100,5,2,2014
25,Marc Leishman,81,70.152,297.6,57.97,65.21,-.017,.766,.749,57.29,287,501,3,1240,6,,2014
26,Zach Johnson,97,70.159,282.2,70.51,67.42,.106,.751,.857,60.75,342,563,4,650,5,1,2014
27,Henrik Stenson,56,70.166,293.2,68.78,69.03,-.170,1.162,.992,51.83,156,301,2,1315,3,,2014
28,Rickie Fowler,91,70.172,297.5,59.93,64.51,.290,.480,.769,62.06,337,543,4,1225,10,,2014
29,Webb Simpson,87,70.234,288.5,62.24,65.28,.300,.580,.880,59.05,310,525,6,525,9,1,2014
30,George McNeill,79,70.248,286.1,62.22,66.17,.271,.528,.799,58.21,280,481,3,1352,4,,2014
31,Gary Woodland,93,70.249,304.1,59.49,66.55,-.149,1.049,.900,60.11,333,554,4,595,5,,2014
32,John Senden,99,70.270,288.9,64.25,67.85,.476,.328,.805,60.21,345,573,4,585,5,1,2014
33,Jason Kokrak,65,70.307,303.4,55.64,65.38,.222,.686,.908,59.75,242,405,2,932,2,,2014
34,Ryan Moore,86,70.344,284.7,69.92,67.99,.042,.794,.836,57.64,279,484,4,1534,7,1,2014
35,Jerry Kelly,80,70.349,277.5,66.49,65.56,.239,.288,.527,62.10,308,496,3,1175,4,,2014
36,David Toms,64,70.350,275.1,75.49,68.73,.055,.405,.460,61.60,215,349,2,502,2,,2014
37,Brian Harman,111,70.391,289.0,60.96,64.26,.113,.403,.515,59.66,426,714,5,1571,6,1,2014
38,Charley Hoffman,93,70.464,299.2,58.69,67.08,.266,.691,.956,59.53,328,551,4,1291,5,,2014
39,Kevin Chappell,100,70.466,296.2,64.90,67.59,-.278,.970,.692,57.32,321,560,1,1268,1,,2014
40,Martin Kaymer,65,70.468,294.9,61.27,64.58,-.111,.355,.244,53.43,218,408,3,655,4,2,2014
41,Chris Stroud,88,70.476,285.8,63.93,65.21,.182,.236,.418,61.89,341,551,3,1344,4,,2014
42,Robert Streb,75,70.502,300.0,59.62,65.65,.119,.319,.438,59.00,259,439,1,966,2,,2014
43,Carl Pettersson,91,70.520,295.5,58.79,66.67,-.138,.397,.259,57.33,313,546,2,1173,4,,2014
44,Billy Horschel,92,70.521,291.6,67.04,70.43,.220,.518,.738,55.32,265,479,2,4750,5,2,2014
45,Brian Stuard,91,70.549,283.4,66.14,63.86,.283,.042,.326,60.42,342,566,4,1315,4,,2014
46,Daniel Summerhays,98,70.566,282.2,66.30,66.89,.492,.184,.675,58.22,340,584,2,1242,2,,2014
47,Hunter Mahan,88,70.574,295.8,65.10,66.67,.207,.314,.520,54.71,279,510,4,1835,6,1,2014
48,Patrick Reed,92,70.598,292.3,55.59,63.64,.249,.081,.331,59.42,350,589,2,598,4,2,2014
49,Stuart Appleby,92,70.599,278.6,60.42,62.96,.487,-.126,.361,61.00,366,600,2,1755,3,,2014
50,Freddie Jacobson,91,70.604,284.6,59.35,62.58,.704,-.293,.411,61.34,376,613,3,1068,4,,2014
51,Shawn Stefani,60,70.609,297.7,64.17,66.20,-.146,.564,.418,59.45,217,365,1,842,2,,2014
52,Kevin Stadler,90,70.620,291.6,64.28,68.91,-.467,.878,.411,53.41,266,498,3,1537,3,1,2014
53,Cameron Tringale,111,70.630,282.9,63.87,66.77,.107,.560,.668,59.34,394,664,1,600,3,,2014
54,Luke Guthrie,85,70.638,287.6,58.99,63.53,.190,.109,.299,61.29,342,558,2,580,2,,2014
55,Seung-Yul Noh,92,70.661,296.5,55.02,66.97,-.121,.427,.306,60.33,330,547,2,1590,3,1,2014
56,Scott Langley,95,70.662,281.3,61.08,64.16,.268,.016,.284,61.67,370,600,1,898,1,,2014
57,Ricky Barnes,92,70.671,290.7,54.85,64.96,.157,.145,.302,61.80,343,555,1,530,2,,2014
58,Brandt Snedeker,89,70.671,285.6,63.70,63.28,.326,.318,.644,59.48,342,575,2,812,3,,2014
59,Will MacKenzie,82,70.685,290.6,64.50,65.58,.154,.070,.224,55.91,284,508,5,1092,5,,2014
60,Billy Hurley III,86,70.696,276.7,70.44,65.89,.039,.270,.309,61.36,324,528,2,685,4,,2014
61,William McGirt,96,70.712,278.5,65.94,64.41,.314,-.235,.079,59.02,363,615,2,1182,4,,2014
62,Andrew Svoboda,77,70.713,287.4,66.14,68.11,-.026,.370,.344,59.05,261,442,2,702,2,,2014
63,Tim Wilkinson,86,70.714,282.4,59.51,61.72,.205,-.078,.127,63.19,357,565,2,498,3,,2014
64,Kevin Kisner,85,70.718,287.8,61.43,65.29,.388,.009,.397,56.69,301,531,1,587,3,,2014
65,J.B. Holmes,86,70.721,308.0,54.71,60.92,-.075,.476,.401,58.51,354,605,2,1467,2,1,2014
66,Matt Every,85,70.722,286.3,56.72,63.33,.733,-.236,.497,58.82,330,561,6,1354,6,1,2014
67,Ian Poulter,57,70.722,288.1,61.35,62.40,.067,-.106,-.038,58.05,220,379,2,892,2,,2014
68,Robert Garrigus,80,70.728,306.1,57.18,65.14,.047,.382,.429,57.17,287,502,2,678,2,,2014
69,Retief Goosen,94,70.728,288.8,55.90,63.64,.352,-.024,.329,61.12,360,589,2,591,2,,2014
70,Ben Martin,80,70.732,291.7,64.34,66.04,.291,.130,.421,59.10,289,489,2,899,3,,2014
71,Jeff Overton,80,70.734,287.5,57.36,65.79,.017,.044,.061,60.47,283,468,3,719,3,,2014
72,Luke Donald,57,70.735,278.1,62.56,63.00,.517,.173,.690,60.59,226,373,3,798,3,,2014
73,Ernie Els,85,70.736,291.2,53.26,61.60,-.171,.654,.483,61.36,335,546,1,1467,3,,2014
74,Tim Clark,75,70.738,272.2,74.02,64.30,.025,.061,.086,59.34,286,482,1,1271,3,1,2014
75,Lee Westwood,57,70.738,292.3,61.22,63.69,.151,.495,.646,56.28,206,366,2,577,2,,2014
76,Aaron Baddeley,74,70.796,293.8,52.29,59.80,.872,-.828,.044,60.27,314,521,1,528,2,,2014
77,Brendan Steele,89,70.798,298.9,59.51,66.47,.121,.398,.519,59.45,305,513,2,881,4,,2014
78,Brendon de Jonge,109,70.801,287.9,67.87,64.48,-.032,.256,.224,57.10,398,697,1,762,2,,2014
79,Danny Lee,84,70.802,284.2,65.05,64.44,.141,-.123,.018,57.62,295,512,1,800,1,,2014
80,Will Wilcox,51,70.819,297.3,61.40,66.89,-.204,.552,.349,58.90,172,292,1,362,2,,2014
81,Erik Compton,88,70.829,283.3,58.48,63.07,.282,-.259,.023,58.80,344,585,3,1117,3,,2014
82,David Hearn,97,70.830,279.1,67.48,66.38,.315,.136,.451,60.99,358,587,3,930,3,,2014
83,Justin Hicks,103,70.836,285.1,73.46,71.44,.069,-.003,.066,54.81,279,509,1,923,3,,2014
84,Louis Oosthuizen,50,70.852,300.5,60.90,66.43,-.429,.212,-.217,51.80,144,278,1,453,1,,2014
85,K.J. Choi,80,70.870,279.8,64.22,62.08,.332,-.039,.293,56.78,310,546,1,1019,2,,2014
86,Brad Fritsch,50,70.888,294.4,60.24,65.05,-.050,.110,.060,59.93,181,302,1,322,3,,2014
87,Jason Bohn,81,70.892,280.0,64.95,64.75,.126,-.253,-.127,56.03,288,514,3,1011,3,,2014
88,Justin Leonard,75,70.895,270.3,65.04,57.78,.496,-.677,-.181,64.56,368,570,2,491,2,,2014
89,Jason Dufner,57,70.900,285.3,63.76,66.26,-.576,1.098,.522,52.74,173,328,4,798,4,,2014
90,Troy Merritt,62,70.900,285.2,61.43,65.05,.024,-.123,-.099,56.15,219,390,1,609,1,,2014
91,Vijay Singh,83,70.933,289.7,60.66,65.39,-.579,.554,-.025,59.19,306,517,1,800,1,,2014
92,Scott Brown,100,70.936,287.2,66.55,65.00,.211,.134,.345,58.73,370,630,3,821,4,,2014
93,Ben Crane,81,70.954,279.0,66.40,63.44,.138,-.290,-.152,59.10,315,533,2,1199,2,1,2014
94,Ryo Ishikawa,75,70.980,291.0,53.26,64.96,.092,.231,.323,54.55,258,473,3,936,3,,2014
95,Matt Jones,83,71.021,296.3,58.50,63.25,.142,-.029,.113,55.92,307,549,1,1051,1,1,2014
96,Brice Garnett,92,71.039,289.3,58.91,65.15,.109,-.255,-.147,59.60,329,552,1,488,1,,2014
97,Pat Perez,84,71.110,286.4,60.05,64.35,.251,-.255,-.004,60.30,325,539,3,682,3,,2014
98,Bryce Molder,77,71.112,278.7,59.49,63.93,.249,-.482,-.233,60.34,286,474,2,565,2,,2014
99,Andrew Loupe,65,71.142,308.0,50.00,63.11,.350,-.485,-.136,55.56,225,405,1,380,1,,2014
100,Steven Bowditch,93,71.145,298.1,55.13,63.38,-.581,.399,-.182,56.77,348,613,1,1213,1,1,2014
